

"Host:","e0cadafc5adb",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/frr_bgp_resource_1to2_1record.csv 1 60",,,,"Date:","03 Jul 2024 09:16:53 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.712,1.377,97.911,0,0,0,4292608,35148960,64753922304,15803187200,487592001536,18595876864,521332035584,2,0,0,2.080,1.280,1.190,Jul-03 09:17:30
0.547,1.392,98.061,0,0,0,2392064,35261952,64931392800,15800225792,487594934272,18595905536,521334996992,3,0,20,2.150,1.310,1.200,Jul-03 09:17:31
0.336,1.369,98.295,0,0,0,2654208,35215488,64942938016,15801679872,487593467904,18595917824,521333542912,3,0,3,2.150,1.310,1.200,Jul-03 09:17:32
0.414,1.509,98.077,0,0,0,2359296,35251392,64977606384,15808184320,487586897920,18595950592,521327034368,3,0,246,2.150,1.310,1.200,Jul-03 09:17:33
0.399,1.321,98.281,0,0,0,1900544,35294688,64957118448,15805145088,487589937152,18595950592,521330073600,2,0,0,2.150,1.310,1.200,Jul-03 09:17:34
0.634,1.439,97.927,0,0,0,39518208,35250336,64969726912,15805595648,487589453824,18595983360,521329623040,3,0,59,2.150,1.310,1.200,Jul-03 09:17:35
0.321,1.376,98.303,0,0,0,2359296,35049168,64876256128,15806468096,487588577280,18595987456,521328746496,2,0,1,2.140,1.320,1.210,Jul-03 09:17:36
0.344,1.314,98.342,0,0,0,3735552,35179584,64888336240,15807160320,487587852288,18596020224,521328054272,2,0,0,2.140,1.320,1.210,Jul-03 09:17:37
0.697,1.362,97.941,0,0,0,3178496,35169552,64877306288,15808430080,487586578432,18596024320,521326780416,2,0,23,2.140,1.320,1.210,Jul-03 09:17:38
0.586,1.454,97.959,0,0,0,4161536,35248224,64927192160,15806046208,487588929536,18596057088,521329164288,2,0,40,2.140,1.320,1.210,Jul-03 09:17:39
0.266,1.501,98.233,0,0,0,4030464,35207376,64834784960,15805755392,487589208064,18596069376,521329475584,2,0,1,2.140,1.320,1.210,Jul-03 09:17:40
0.461,1.408,98.131,0,0,0,2424832,35105136,64888329696,15803092992,487591845888,18596093952,521332137984,3,0,20,2.210,1.350,1.220,Jul-03 09:17:41
0.407,1.362,98.231,0,0,0,1441792,35092992,64845808032,15802109952,487592824832,18596098048,521333121024,2,0,0,2.210,1.350,1.220,Jul-03 09:17:42
0.360,1.321,98.320,0,0,0,2293760,35170608,64895687360,15800770560,487594135552,18596126720,521334460416,2,0,0,2.210,1.350,1.220,Jul-03 09:17:43
0.368,1.454,98.170,0.008,0,0,315195392,35098800,64815353392,15806124032,487591194624,18593681408,521329123328,3,0,56,2.210,1.350,1.220,Jul-03 09:17:44
0.493,1.439,98.068,0,0,0,5505024,35194896,64837400208,15805775872,487591510016,18593714176,521328754688,2,0,3,2.210,1.350,1.220,Jul-03 09:17:45
0.822,1.473,97.705,0,0,0,3375104,35163216,64867326176,15806898176,487590387712,18593714176,521327632384,2,0,2,2.190,1.360,1.220,Jul-03 09:17:46
0.352,1.353,98.296,0,0,0,5406720,35269872,65053739712,15805108224,487592169472,18593722368,521330106368,3,0,0,2.190,1.360,1.220,Jul-03 09:17:47
0.313,1.353,98.334,0,0,0,1900544,35265648,64914590240,15804567552,487592665088,18593767424,521330667520,2,0,0,2.190,1.360,1.220,Jul-03 09:17:48
1.071,1.430,97.499,0,0,0,5963776,35255616,64689856000,15803342848,487593857024,18593800192,521331892224,2,0,38,2.190,1.360,1.220,Jul-03 09:17:49
0.274,1.416,98.311,0,0,0,5275648,35207568,65023278528,15802204160,487594995712,18593800192,521333542912,2,0,0,2.190,1.360,1.220,Jul-03 09:17:50
0.798,1.408,97.793,0,0,0,3604480,35260368,64999131392,15799300096,487597871104,18593828864,521335930880,2,0,22,2.260,1.390,1.230,Jul-03 09:17:51
0.313,1.383,98.304,0,0,0,5341184,35368080,64992295536,15798685696,487598481408,18593832960,521336545280,2,0,0,2.260,1.390,1.230,Jul-03 09:17:52
