Connecting to host 10.10.1.4, port 5201
[  5] local 10.10.1.2 port 51868 connected to 10.10.1.4 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  55.00-56.00  sec  5.53 GBytes  47.5 Gbits/sec    0   4.63 MBytes       
[  5]  56.00-57.00  sec  5.54 GBytes  47.6 Gbits/sec    0   4.63 MBytes       
[  5]  57.00-58.00  sec  5.60 GBytes  48.1 Gbits/sec    0   4.63 MBytes       
[  5]  58.00-59.00  sec  5.59 GBytes  48.0 Gbits/sec    0   4.63 MBytes       
[  5]  59.00-60.00  sec  5.59 GBytes  48.0 Gbits/sec    0   4.63 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   313 GBytes  44.8 Gbits/sec    0             sender
[  5]   0.00-60.04  sec   313 GBytes  44.8 Gbits/sec                  receiver

iperf Done.
