2024-07-14 08:56:52,42d388a70d30,bgp_con1,0.00%,22.81MiB / 90MiB,25.34%,0B / 0B,0B / 49.2kB,16
2024-07-14 08:56:52,15a81bf56b14,bgp_con2,0.08%,23.38MiB / 90MiB,25.98%,0B / 0B,0B / 49.2kB,19
2024-07-14 08:56:56,42d388a70d30,bgp_con1,0.06%,22.81MiB / 90MiB,25.34%,0B / 0B,0B / 49.2kB,16
2024-07-14 08:56:56,15a81bf56b14,bgp_con2,0.00%,23.26MiB / 90MiB,25.84%,0B / 0B,0B / 49.2kB,19
2024-07-14 08:56:59,42d388a70d30,bgp_con1,0.00%,22.81MiB / 90MiB,25.34%,0B / 0B,0B / 49.2kB,16
2024-07-14 08:56:59,15a81bf56b14,bgp_con2,0.00%,23.26MiB / 90MiB,25.84%,0B / 0B,0B / 49.2kB,19
2024-07-14 08:57:03,42d388a70d30,bgp_con1,0.00%,22.81MiB / 90MiB,25.34%,0B / 0B,0B / 49.2kB,16
2024-07-14 08:57:03,15a81bf56b14,bgp_con2,0.10%,23.38MiB / 90MiB,25.98%,0B / 0B,0B / 49.2kB,19
2024-07-14 08:57:07,42d388a70d30,bgp_con1,0.15%,22.81MiB / 90MiB,25.34%,0B / 0B,0B / 49.2kB,16
2024-07-14 08:57:07,15a81bf56b14,bgp_con2,0.02%,23.26MiB / 90MiB,25.84%,0B / 0B,0B / 49.2kB,19
2024-07-14 08:57:10,42d388a70d30,bgp_con1,7.44%,33.45MiB / 90MiB,37.16%,0B / 0B,0B / 49.2kB,17
2024-07-14 08:57:10,15a81bf56b14,bgp_con2,0.23%,33.94MiB / 90MiB,37.71%,0B / 0B,0B / 49.2kB,20
2024-07-14 08:57:14,42d388a70d30,bgp_con1,0.36%,33.57MiB / 90MiB,37.30%,0B / 0B,0B / 57.3kB,17
2024-07-14 08:57:14,15a81bf56b14,bgp_con2,0.34%,33.89MiB / 90MiB,37.65%,0B / 0B,0B / 49.2kB,20
2024-07-14 08:57:17,42d388a70d30,bgp_con1,94.25%,34.26MiB / 90MiB,38.06%,0B / 0B,0B / 57.3kB,20
2024-07-14 08:57:17,15a81bf56b14,bgp_con2,90.42%,36.93MiB / 90MiB,41.03%,0B / 0B,0B / 49.2kB,21
2024-07-14 08:57:20,42d388a70d30,bgp_con1,87.33%,34.27MiB / 90MiB,38.07%,0B / 0B,0B / 57.3kB,20
2024-07-14 08:57:20,15a81bf56b14,bgp_con2,89.18%,36.94MiB / 90MiB,41.04%,0B / 0B,0B / 49.2kB,21
2024-07-14 08:57:23,42d388a70d30,bgp_con1,85.09%,34.14MiB / 90MiB,37.93%,0B / 0B,0B / 65.5kB,20
