

"Host:","5fa62329fc8c",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/frr_ospf_resource_1to3_record.csv 1 60",,,,"Date:","03 Jul 2024 05:52:16 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
0.493,1.212,98.296,0,0,0,1376256,53896833328,39583104,10450354176,493138907136,18420744192,526684999680,2,0,56,1.760,1.200,1.010,Jul-03 05:52:53
0.422,1.196,98.382,0,0,0,3702784,53877936992,39568848,10449747968,493139509248,18420748288,526685605888,2,0,0,1.760,1.200,1.010,Jul-03 05:52:54
0.578,1.125,98.296,0,0,0,1376256,53888960400,39710880,10449829888,493139402752,18420772864,526685523968,2,0,2,1.760,1.200,1.010,Jul-03 05:52:55
0.610,1.290,98.100,0,0,0,2949120,53748233072,38263632,10449924096,493139304448,18420776960,526685429760,3,0,0,1.860,1.230,1.020,Jul-03 05:52:56
0.477,1.173,98.350,0,0,0,3768320,53910491952,41486544,10450173952,493139021824,18420809728,526685179904,2,0,0,1.860,1.230,1.020,Jul-03 05:52:57
0.563,1.236,98.201,0,0,0,2424832,53978224000,40960128,10448666624,493140525056,18420813824,526686687232,2,0,0,1.860,1.230,1.020,Jul-03 05:52:58
1.211,1.391,97.398,0,0,0,4915200,54001357152,40801776,10445701120,493143457792,18420846592,526690709504,2,0,38,1.860,1.230,1.020,Jul-03 05:52:59
0.586,1.282,98.132,0,0,0,3342336,53930438448,41115888,10446417920,493142740992,18420846592,526688247808,2,0,0,1.860,1.230,1.020,Jul-03 05:53:00
1.767,1.290,96.943,0,0,0,4358144,53448949904,40697312,10442948608,493146169344,18420887552,526692405248,2,0,41,1.950,1.260,1.030,Jul-03 05:53:01
0.532,1.204,98.264,0,0,0,2392064,53824372288,40606896,10444447744,493144666112,18420891648,526690906112,2,0,0,1.950,1.260,1.030,Jul-03 05:53:02
0.516,1.181,98.303,0,0,0,3702784,53726185600,40909440,10443337728,493145776128,18420891648,526692016128,2,0,0,1.950,1.260,1.030,Jul-03 05:53:03
0.641,1.196,98.163,0,0,0,3571712,53668966736,40918704,10443153408,493145931776,18420920320,526692200448,2,0,0,1.950,1.260,1.030,Jul-03 05:53:04
0.555,1.126,98.319,0,0,0,1572864,53693637184,41196144,10442612736,493146443776,18420948992,526692741120,2,0,0,1.950,1.260,1.030,Jul-03 05:53:05
0.540,1.126,98.334,0,0,0,2916352,53695203264,41149152,10442133504,493146923008,18420948992,526692532224,2,0,0,1.960,1.270,1.040,Jul-03 05:53:06
0.508,1.181,98.311,0,0,0,3735552,53672105632,41195616,10443243520,493145780224,18420981760,526692110336,2,0,0,1.960,1.270,1.040,Jul-03 05:53:07
0.500,1.165,98.335,0,0,0,2326528,53726707744,40930896,10443624448,493145395200,18420985856,526691725312,2,0,0,1.960,1.270,1.040,Jul-03 05:53:08
0.735,1.290,97.975,0,0,0,4915200,53744560128,41339232,10445959168,493143023616,18421022720,526689906688,2,0,36,1.960,1.270,1.040,Jul-03 05:53:09
0.914,1.266,97.820,0,0,0,2719744,53639028864,41265840,10444279808,493144686592,18421039104,526691057664,2,0,0,1.960,1.270,1.040,Jul-03 05:53:10
0.938,1.220,97.842,0,0,0,4325376,53749810928,41109152,10442620928,493146304512,18421080064,526693257216,2,0,18,1.960,1.290,1.040,Jul-03 05:53:11
0.963,1.205,97.832,0,0,0,2392064,53641122640,41374080,10442358784,493146566656,18421080064,526692982784,2,0,3,1.960,1.290,1.040,Jul-03 05:53:12
0.438,1.181,98.381,0,0,0,1441792,53735108688,41209872,10442207232,493146689536,18421108736,526693146624,2,0,0,1.960,1.290,1.040,Jul-03 05:53:13
0.852,1.290,97.858,0,0,0,3506176,53758218752,41338704,10442084352,493146804224,18421116928,526693265408,3,0,0,1.960,1.290,1.040,Jul-03 05:53:14
0.602,1.142,98.256,0,0,0,1409024,53677878240,41141760,10442944512,493145915392,18421145600,526692401152,2,0,0,1.960,1.290,1.040,Jul-03 05:53:15
