

"Host:","f71b89c3ad7a",,,,"User:","root"
"Cmdline:","/usr/bin/dool --more --output /src/ospf/resource/frr_ospf_resource_1to3_2record.csv 1 60",,,,"Date:","05 Jul 2024 10:05:20 UTC"
"total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"procs",,,"load avg",,,"system"
"usr","sys","idl","wai","stl","read","writ","recv","send","used","free","cach","avai","run","blk","new","1m","5m","15m","time"
12.058,35.007,52.935,0,0,0,37912576,1165442135808,1165438466528,12036296704,489764532224,19988639744,525098987520,60,0,21,25.920,18.800,20.470,Jul-05 10:05:51
11.850,35.058,53.092,0,0,0,65536,1172711529568,1172718302720,12039098368,489761734656,19988635648,525096181760,60,0,2,25.920,18.800,20.470,Jul-05 10:05:52
12.140,34.898,52.962,0,0,0,2293760,1167654642784,1167648899632,12036521984,489764282368,19988664320,525098762240,61,0,0,25.920,18.800,20.470,Jul-05 10:05:53
11.845,35.154,53.001,0,0,0,2293760,1176636554816,1176641297312,12031819776,489768984576,19988664320,525103464448,60,0,0,25.920,18.800,20.470,Jul-05 10:05:54
11.839,35.280,52.881,0,0,0,5832704,1171522333296,1171523369312,12073533440,489727238144,19988697088,525061754880,60,0,2,25.920,18.800,20.470,Jul-05 10:05:55
12.278,35.016,52.706,0,0,0,2359296,1176927469520,1176927944656,12069629952,489731141632,19988697088,525065658368,57,0,0,28.650,19.480,20.680,Jul-05 10:05:56
11.874,34.851,53.275,0,0,0,1409024,1156593264208,1156592245584,12034322432,489766420480,19988725760,525100969984,61,0,3,28.650,19.480,20.680,Jul-05 10:05:57
12.124,35.080,52.795,0,0,0,2949120,1177782437120,1177782957024,12050604032,489750130688,19988733952,525084684288,60,0,0,28.650,19.480,20.680,Jul-05 10:05:58
12.738,34.690,52.572,0,0,0,1572864,1108852540656,1108851987296,12072935424,489727795200,19988738048,525061664768,57,0,39,28.650,19.480,20.680,Jul-05 10:05:59
12.253,34.532,53.215,0,0,0,3538944,1062136352704,1062135325232,12053827584,489746878464,19988762624,525081460736,59,0,0,28.650,19.480,20.680,Jul-05 10:06:00
12.221,34.462,53.317,0,0,0,3866624,1045873028192,1045871464400,12047032320,489753645056,19988791296,525088264192,60,0,21,31.160,20.160,20.890,Jul-05 10:06:01
12.257,34.284,53.459,0,0,0,0,1079131772544,1079133361712,12036063232,489764610048,19988795392,525099229184,58,0,0,31.160,20.160,20.890,Jul-05 10:06:02
12.380,34.754,52.866,0,0,0,1966080,1117370275776,1117364509264,12045959168,489754681344,19988828160,525089325056,59,0,0,31.160,20.160,20.890,Jul-05 10:06:03
