Connecting to host 192.168.2.5, port 5201
[  5] local 192.168.1.2 port 41848 connected to 192.168.2.5 port 5201
[ 19]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 21]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 23]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 25]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 27]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 29]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 31]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 33]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 35]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 37]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 39]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 41]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[ 43]   2.00-3.00   sec   406 MBytes  3.41 Gbits/sec    0   14.1 KBytes       
[SUM]   2.00-3.00   sec  7.93 GBytes  68.1 Gbits/sec    0             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[  7]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[  9]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 11]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 13]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 15]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 17]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 19]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 21]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 23]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 25]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 27]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 29]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 31]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 33]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 35]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 37]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 39]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 41]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[ 43]   3.00-4.00   sec   459 MBytes  3.85 Gbits/sec    0   14.1 KBytes       
[SUM]   3.00-4.00   sec  8.96 GBytes  77.0 Gbits/sec    0             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  7]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  9]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 11]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 13]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 15]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 17]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 19]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 21]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 23]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 25]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 27]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 29]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 31]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 33]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 35]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 37]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 39]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 41]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 43]   4.00-5.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[SUM]   4.00-5.00   sec  8.94 GBytes  76.8 Gbits/sec    0             
- - - - - - - - - - - - - - - - - - - - - - - - -
[  5]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  7]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[  9]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 11]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 13]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 15]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 17]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
[ 19]   5.00-6.00   sec   458 MBytes  3.84 Gbits/sec    0   14.1 KBytes       
